temp,K,sample
-24.41,192.37189,a
-24.46,223.14355,a
-24.58,254.89225,a
-24.69,287.68207,a
-24.79,321.58362,a
-24.92,356.67494,a
-24.98,393.04259,a
-24.98,430.78292,a
-25.06,470.00363,a
-25.11,510.82562,a
-25.2,553.38524,a
-25.26,597.837,a
-25.4,644.35702,a
-25.55,693.14718,a
-25.64,744.44047,a
-25.77,798.5077,a
-25.82,855.66611,a
-25.89,916.29073,a
-25.92,980.82925,a
-25.96,1049.82212,a
-26.07,1123.9301,a
-26.07,1203.9728,a
-26.11,1290.98418,a
-26.28,1386.29436,a
-26.35,1491.65488,a
-26.43,1609.43791,a
-26.54,1742.96931,a
-26.57,1897.11998,a
-26.59,2079.44154,a
-26.62,2302.58509,a
-26.64,2590.26717,a
-27.2,2995.73227,a
-27.3,3688.87945,a
-22.32,27.3712,b
-22.73,55.61842,b
-23.59,84.57798,b
-23.74,114.28915,b
-24.26,145.02577,b
-25.35,176.73718,b
-25.38,209.48722,b
-26.09,243.34626,b
-26.46,278.39203,b
-26.55,314.71074,b
-26.77,352.39839,b
-26.93,391.5622,b
-27.4,432.32256,b
-27.53,474.81519,b
-27.56,519.19387,b
-27.71,565.63386,b
-27.93,614.336,b
-27.95,665.53201,b
-28.23,721.54666,b
-28.59,778.70507,b
-28.64,839.32969,b
-28.87,903.86821,b
-28.91,972.86108,b
-29.1,1046.96906,b
-29.2,1127.01176,b
-29.2,1214.02314,b
-29.27,1309.33332,b
-29.91,1414.69384,b
-29.92,1532.47687,b
-29.95,1666.00826,b
-30.08,1820.15894,b
-30.1,2002.4805,b
-30.31,2225.62405,b
-30.58,2513.30612,b
-30.96,2918.77123,b
-31.05,3611.91841,b
-19.49,25.31780798,c
-22.94,51.29329439,c
-23.23,77.96154147,c
-23.72,105.3605157,c
-23.78,133.5313926,c
-24.35,162.5189295,c
-24.36,192.3718926,c
-24.41,223.1435513,c
-24.46,254.8922496,c
-24.58,287.6820725,c
-24.69,321.5836241,c
-24.79,356.6749439,c
-24.92,393.0425881,c
-24.98,470.0036292,c
-25.06,510.8256238,c
-25.11,553.3852382,c
-25.2,597.8370008,c
-25.26,644.3570164,c
-25.4,693.1471806,c
-25.55,744.4404749,c
-25.64,798.5076962,c
-25.77,855.6661101,c
-25.82,916.2907319,c
-25.89,980.829253,c
-25.92,1049.822125,c
-25.96,1123.930097,c
-26.07,1290.984181,c
-26.11,1386.294361,c
-26.28,1491.654877,c
-26.35,1609.437912,c
-26.43,1742.969305,c
-26.54,1897.119985,c
-26.57,2079.441542,c
-26.59,2302.585093,c
-26.62,2590.267165,c
-26.64,2995.732274,c
-27.2,3688.879454,c
