Size,Percent
0.0498379,1.00233
4.04154,1.00155
4.29096,1.00385
4.5405,1.00146
4.7651,0.99907
5.01464,0.996679
5.06459,0.994328
5.31419,0.989595
5.5389,0.982526
5.78855,0.975451
6.06328,0.963688
6.28804,0.954276
6.51287,0.942523
6.73769,0.930769
6.93757,0.919021
7.13751,0.90493
7.53738,0.876749
7.71237,0.862663
7.88741,0.846236
8.06246,0.829808
8.23756,0.811039
8.38766,0.794616
8.66297,0.759433
8.81312,0.740669
8.93839,0.719567
9.0636,0.700807
9.18886,0.679706
9.41416,0.649217
9.53942,0.628115
9.68958,0.60935
9.81485,0.588248
9.94005,0.569489
10.1155,0.536668
10.2158,0.515571
10.3411,0.494469
10.4414,0.473372
10.6921,0.426485
10.7924,0.405388
10.8927,0.384291
10.993,0.363194
11.1938,0.316317
11.2691,0.295225
11.3695,0.271786
11.4449,0.250694
11.6206,0.206163
11.721,0.185066
11.8462,0.163964
11.9714,0.145205
12.1967,0.117058
12.2967,0.10767
12.5217,0.0888912
