,radius of filter exposed in m,Unnamed: 1,Unnamed: 2,0.0185892,0.002,stdev of several measurements,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,"area of filter exposed in m2, A",,,0.0010856026776366575,0.00023359877662444553,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,uncertainty in volume of air sampled,0.5,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,good,good,,good,good,good,,,,,
8,,contact angle measurements on blank filter,"Was hard to tell where the drops had been on this filter, so not sure whether I was getting fresh areas or areas that had droplets on.","Much clearer where droplets were previously, easier to guarantee fresh bits of filter.",Just about possible to avoid previous drop placements.,problems with static,just ones which weren't left,just ones which weren't left,just ones which weren't left,,,,,
9,,blank,b920_4,B924_6,B931_2,B921_6,B925-2,B929_1,B929_2,,,,contact angle measurements on exposed filter by Theo July 2016,
10,,127.38,,,,,,,,,Filter,Drop number,Contact angle/degrees,Notes
11,,122.15,,,,,,,,,B920-4,,,"Was hard to tell where the drops had been on this filter, so not sure whether I was getting fresh areas or areas that had droplets on."
12,,126.12,,,,,,,,,,1,123.7,
13,,130.94,,,,,,,,,,2,115.36,
14,,124.75,,,,,,,,,,3,118.39,
15,,128.3,,,,,,,,,,4,125.26,
16,,126.56,,,,,,,,,,5,119.86,
17,average,126.59999999999998,119.43833333333332,125.33714285714288,126.90166666666666,122.84333333333332,122.098,125.68666666666667,126.46,,,6,114.06,
18,stdev,2.762577299069354,4.4472392185114895,5.440654722505724,1.8030354036087766,7.004620379911154,1.4136194678908476,3.6162724823589594,1.9425498706596913,,,,,
19,,,,,,,,,,,B924-6,,,"Much clearer where droplets were previously, easier to guarantee fresh bits of filter."
20,area of aerosol on filter according to PCASP and CDP in um2,0,2867698.0338089173,103730039.58732148,10543616.637818916,9899176.92366292,19458593.45243838,126665142.92817831,50053161.318393044,,,1,dodgy baseline,
21,,,,,,,,,,,,2,121.78,
22,,125.5139126984127,,,,,,,,,,3,126.57,
23,,3.4260974142694036,,,,,,,,,,4,130.61,
24,,,,,,,,,,,,5,133,
25,,,,,,,,,,,,6,125.96,
26,,,,,,,,,,,,7,117.13,
27,,,,,,,,,,,,8,122.31,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,B931-2,,,Just about possible to avoid previous drop placements.
30,,,,,,,,,,,,1,125.5,
31,,,,,,,,,,,,2,125.84,
32,,,,,,,,,,,,3,125.61,
33,,,,,,,,,,,,4,127.67,
34,,,,,,,,,,,,5,130.19,
35,,,,,,,,,,,,6,126.6,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,B921-6,,,Some problems with static on this filter
38,,,,,,,,,,,,1,Dodgy fit,
39,,,,,,,,,,,,2,112.92,
40,,,,,,,,,,,,3,130.47,
41,,,,,,,,,,,,4,119.57,
42,,,,,,,,,,,,5,127.29,
43,,,,,,,,,,,,6,118.04,
44,,,,,,,,,,,,7,128.77,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,B925-2,,,
47,,,,,,,,,,,,1,120.22,
48,,,,,,,,,,,,1,103.2,"Drop 1 after leaving for ~2 mins, noticed it had sort of spread out, contact angle decreased, note would be evaporating relatively quickly, seemed to keep getting smaller (see picture in .doc)"
49,,,,,,,,,,,,2,121.52,
50,,,,,,,,,,,,3,123.3,
51,,,,,,,,,,,,3,108.75,Drop 3 after leaving for ~5mins
52,,,,,,,,,,,,4,123.7,
53,,,,,,,,,,,,4,110.82,Drop 4 after leaving for ~4mins
54,,,,,,,,,,,,6,121.75,
55,,,,,,,,,,,,,,
56,,,,,,,,,,,B929-1,,,Fresh areas easily discernible
57,,,,,,,,,,,,1,119.73,
58,,,,,,,,,,,,1,106.61,Drop 1 left for ~5 mins
59,,,,,,,,,,,,2,122.68,
60,,,,,,,,,,,,3,128.2,
61,,,,,,,,,,,,4,128.38,
62,,,,,,,,,,,,5,127.22,
63,,,,,,,,,,,,6,127.91,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,B929-2,,,
66,,,,,,,,,,,,1,123.43,
67,,,,,,,,,,,,2,127.49,
68,,,,,,,,,,,,2,117.33,Drop 2 after 5 mins
69,,,,,,,,,,,,3,128.07,
70,,,,,,,,,,,,4,127.7,
71,,,,,,,,,,,,5,125.61,
72,,,,,,,,,,,,6,,
