x,Curve1
-35.082,0.04176
-35.027,1.4915
-34.426,37.95
-34.372,47.59
-34.262,20.602
-34.098,24.69
-34.044,3.69
-33.716,3.528
-33.497,237.5
-33.443,19.703
-33.388,8.529
-33.333,4.736
-33.279,12.252
-33.224,25.28
-33.169,1.3338
-33.005,0.02847
-32.842,96.09
-32.732,0.10343
-32.568,1.0885
-32.514,21.102
-32.35,326.3
-32.131,2.298
-31.967,18.018
-31.913,9.139
-31.475,26.48
-31.421,31.74
-31.366,71.68
-31.311,2.406
-31.202,110.2
-30.984,0.12697
-30.874,1.2484
-30.82,1.5655
-30.71,0.16662
-30.492,0.20896
-30.273,5.689
-30.219,0.04006
-30.164,2.2497
-29.945,2.636
-29.836,0.15935
-29.617,0.517
-28.852,0.3144
-28.634,5.826
-28.415,0.01901
-28.361,0.3075
-28.251,4.974
-28.197,0.04808
-27.869,2.701
-27.432,4.866
-27.322,1.4666
-27.268,0.9541
-27.104,12.309
-27.049,0.1426
-26.885,31.85
-26.667,0.2628
-26.557,16.904
-26.339,0.275
-26.12,0.14931
-25.902,4.983
-25.847,3.316
-25.792,1.6818
-25.519,3.243
-25.464,0.2349
-25.301,3.976
-25.137,5.711
-25.082,2.0629
-24.645,1.7612
-24.372,1.2833
-24.153,1.5734
-24.044,0.5192
-23.989,4.879
-23.77,39.13
-23.607,11.273
-23.552,0.7293
-23.497,0.6367
-23.443,1.5742
-23.388,0.09094
-22.896,0.5315
-22.732,0.04828
-22.623,5.722
-22.077,2.2634
-21.858,5.113
-21.694,3.986
-21.639,3.48
-21.585,0.4541
-21.475,3.327
-20.984,2.424
-20.328,0.5963
-20.109,1.6513
-19.071,0.6993
-18.743,8.242
-18.579,11.316
-18.361,3.569
-18.197,0.5334
-18.033,0.8776
-17.923,1.7702
-17.596,3.999
-17.486,1.8113
-17.322,4.686
-17.158,2.272
-16.393,0.19292
-16.175,0.5223
-16.066,0.2649
-16.011,2.489
-15.902,4.004
-15.847,0.19742
-15.683,19.085
-15.464,3.497
-14.699,1.5492
-14.317,0.21153
-14.262,3.422
-13.443,0.7689
-13.169,1.0557
-12.951,0.2371
-12.896,0.14413
-11.585,0.16525
-11.257,0.365
-11.038,0.6725
-10.656,0.3188
-9.454,0.2603
-9.18,0.6734
